Influenza_Season,State,CDPH_HAI_HCP_FLU_VAX,County,Facility_ID,Facility_Name,HCP_Percent_Vaccinated,On Track to Achieve 90% by 2020 (>=84% in 2017-18)
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000011,Alameda Hospital,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000425,Alta Bates Summit Medical Center,82,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000014,Children's Hospital & Research Center Oakland,73,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000183,Eden Medical Center,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000184,Fairmont Hospital,100,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000034,Highland Hospital,86,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140001086,"Kaiser Foundation Hospital, Fremont",90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,630015029,"Kaiser Foundation Hospital, San Leandro",91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000148,"Kindred Hospital, San Francisco Bay Area",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,630013913,San Leandro Hospital,75,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000041,St Rose Hospital,95,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000797,Stanford Health Care - ValleyCare,94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000118,Washington Hospital,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Amador,30000108,Sutter Amador Hospital,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000005,Adventist Health Feather River,70,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000013,"Enloe Medical Center, Esplanade",80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000405,Enloe Rehabilitation Center,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000001,Orchard Hospital,93,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000014,Oroville Hospital,74,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Calaveras,30000120,Mark Twain Medical Center,88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000195,Contra Costa Regional Medical Center,86,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000196,"John Muir Medical Center, Concord Campus",80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000187,"John Muir Medical Center, Walnut Creek Campus",81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,630011203,"Kaiser Foundation Hospital, Antioch",87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000191,"Kaiser Foundation Hospital, Richmond Campus",82,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000190,"Kaiser Foundation Hospital, Walnut Creek",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000704,San Ramon Regional Medical Center,83,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,140000016,Sutter Delta Medical Center,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Del Norte,110000049,Sutter Coast Hospital,89,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",El Dorado,30000114,Barton Memorial Hospital,85,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",El Dorado,30000121,Marshall Medical Center,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000124,Adventist Health Reedley,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000122,Adventist Health Selma,88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000095,Clovis Community Medical Center,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000096,Coalinga Regional Medical Center,79,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000101,Community Regional Medical Center,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40001397,Fresno Heart and Surgical Hospital,84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000254,Fresno Surgical Hospital,83,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000949,"Kaiser Foundation Hospital, Fresno",87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000126,Saint Agnes Medical Center,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,40000613,San Joaquin Valley Rehabilitation Hospital,94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Glenn,230000006,Glenn Medical Center,79,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,110000057,Jerold Phelps Community Hospital,73,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,110000021,Mad River Community Hospital,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,110000045,Redwood Memorial Hospital,93,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,110000067,"St. Joseph Hospital, Eureka",91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,110000069,The General Hospital,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Imperial,90000040,El Centro Regional Medical Center,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Imperial,90000146,Pioneers Memorial Healthcare District,81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Inyo,240000037,Northern Inyo Hospital,96,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Inyo,240000102,Southern Inyo Hospital,DNR,DNR
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000411,Adventist Health Bakersfield,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000413,Adventist Health Tehachapi Valley,88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120001330,Bakersfield Heart Hospital,88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000338,Bakersfield Memorial Hospital,69,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000336,Delano Regional Medical Center,91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000319,"Good Samaritan Hospital, Bakersfield",80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000555,Healthsouth Bakersfield Rehabilitation Hospital,89,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000342,Kern Medical Center,61,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000344,Kern Valley Healthcare District,68,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000404,Mercy Hospital,80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000701,Mercy Southwest Hospital,82,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,120000409,Ridgecrest Regional Hospital,89,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kings,630012960,Adventist Health Hanford,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Lake,110000044,Adventist Health Clearlake,55,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Lake,110000019,Sutter Lakeside Hospital,77,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Lassen,230000008,Banner Lassen Medical Center,94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000059,Adventist Health Glendale,72,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000191,Adventist Health White Memorial,67,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000005,Alhambra Hospital Medical Center,85,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000008,Antelope Valley Hospital,81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000014,Barlow Respiratory Hospital,84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000012,Beverly Hospital,72,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000002,"California Hospital Medical Center, Los Angeles",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000031,California Rehabilitation Institute,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000020,Casa Colina Hospital,83,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000013,Catalina Island Medical Center,80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000004,Cedars-Sinai Medical Center,98,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000022,Centinela Hospital Medical Center,88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000034,Children's Hospital Los Angeles,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000070,"Citrus Valley Medical Center, IC Campus",81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000132,"Citrus Valley Medical Center, QV Campus",78,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000036,City of Hope Helford Clinical Research Hospital,80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000038,Coast Plaza Hospital,95,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000114,College Medical Center,79,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000082,Community Hospital Long Beach,78,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000040,Community Hospital of Huntington Park,91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930001709,Earl & Loraine Miller Children's Hospital,91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000053,East Los Angeles Doctors Hospital,67,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000054,Encino Hospital Medical Center,86,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000056,Foothill Presbyterian Hospital - Johnston Memorial,82,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000058,Garfield Medical Center,80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000093,Glendale Memorial Hospital and Health Center,78,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000060,Glendora Community Hospital,60,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000068,"Good Samaritan Hospital, Los Angeles",85,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000062,Greater El Monte Community Hospital,78,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000063,Henry Mayo Newhall Hospital,85,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000065,Hollywood Presbyterian Medical Center,78,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000026,Huntington Memorial Hospital,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930001543,"Kaiser Foundation Hospital, Baldwin Park",95,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000074,"Kaiser Foundation Hospital, Downey",92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000072,"Kaiser Foundation Hospital, Los Angeles",86,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000050,"Kaiser Foundation Hospital, Panorama City",92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000071,"Kaiser Foundation Hospital, South Bay",94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000076,"Kaiser Foundation Hospital, West LA",88,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000290,"Kaiser Foundation Hospital, Woodland Hills",91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000912,Keck Hospital of USC,96,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000144,"Kindred Hospital, Baldwin Park",61,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000089,"Kindred Hospital, La Mirada",83,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000088,"Kindred Hospital, Los Angeles",73,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000042,"Kindred Hospital, San Gabriel Valley",80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000039,"Kindred Hospital, South Bay",75,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,60000040,LAC+USC Medical Center,71,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,60000027,LAC/Harbor UCLA Medical Center,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,60000038,LAC/Olive View UCLA Medical Center,59,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,60000028,LAC/Rancho Los Amigos National Rehabilitation Center,67,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000047,Lakewood Regional Medical Center,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000095,Long Beach Memorial Medical Center,93,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000085,Los Angeles Community Hospital,64,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000044,Marina Del Rey Hospital,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,60000035,Martin Luther King Jr. Community Hospital,92,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000092,Memorial Hospital of Gardena,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000096,Methodist Hospital of Southern California,81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000158,Miracle Mile Medical Center,94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000027,Mission Community Hospital,80,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000107,Monrovia Memorial Hospital,72,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000108,Monterey Park Hospital,84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000111,Northridge Hospital Medical Center,79,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000112,Norwalk Community Hospital,77,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000105,Olympia Medical Center,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000052,"PIH Health Hospital, Downey",90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000099,"PIH Health Hospital, Whittier",90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Los Angeles,930000057,Pacific Alliance Medical Center,DNR,DNR
